大鵬,121.6509906 , 25.2087053
大坪,121.638519 , 25.1675661
萬里,121.688339 , 25.1761438
崁腳,121.649687 , 25.160608
野柳,121.689604 , 25.205496
中角,121.6311403 , 25.2390122
三和,121.602624 , 25.218896
金美,121.6354702 , 25.2208886
金山,121.63671 , 25.223766
大觀,121.4485488 , 25.0085073
文德,121.4589117 , 25.0231793
江翠,121.4740871 , 25.0323903
莒光,121.4742879 , 25.025124
國光,121.4528655 , 25.0189586
溪洲,121.4309913 , 24.9872544
中山,121.4478763 , 25.0022338
文聖,121.47753 , 25.0291439
後埔,121.4627041 , 25.0033354
新埔,121.4625468 , 25.0259441
信義,121.4525219 , 24.9916585
實踐,121.4663774 , 25.0050543
沙崙,121.4304648 , 24.9897891
海山,121.4706944 , 25.0094628
埔墘,121.4741924 , 25.0181344
重慶,121.4625528 , 24.9945081
板橋,121.458163 , 25.0109068
樟樹,121.6414273 , 25.0666308
北峰,121.632479 , 25.0637137
保長,121.681338 , 25.0718315
秀峰,121.6614121 , 25.062854
東山,121.6999821 , 25.060028
崇德,121.669196 , 25.0695705
汐止,121.6550414 , 25.0667321
金龍,121.6271579 , 25.068803
白雲,121.6186795 , 25.0477385
北港,121.6455174 , 25.0893366
長安,121.6708413 , 25.0793694
青山,121.6566042 , 25.0610605
深坑,121.6169144 , 25.0017044
和平,121.6418783 , 25.0114916
永定,121.68823 , 25.0083567
雲海,121.636904 , 24.953072
石碇,121.658846 , 24.990538
鼻頭,121.919421 , 25.121211
侯硐,121.834032 , 25.092257
九份,121.84338 , 25.106928
義方,121.802402 , 25.113307
瑞亭,121.777237 , 25.10259
瓜山,121.8569325 , 25.1112777
瑞柑,121.822971 , 25.109843
吉慶,121.763825 , 25.100516
濂洞,121.859808 , 25.122568
瑞濱,121.8202376 , 25.1205551
瑞芳,121.803911 , 25.107763
十分,121.777899 , 25.043775
平溪,121.7377258 , 25.0274938
菁桐,121.72697 , 25.02338
柑林,121.804281 , 25.015367
上林,121.832306 , 25.028948
牡丹,121.851581 , 25.062513
雙溪,121.867134 , 25.033465
福隆,121.948161 , 25.0173964
豐珠,121.901485 , 25.066097
澳底,121.9246216 , 25.0548946
和美,121.912883 , 25.083006
貢寮,121.914926 , 25.021916
福連,121.988533 , 25.0165099
屈尺,121.546713 , 24.922052
中正,121.5367212 , 24.9718639
青潭,121.5522961 , 24.9529714
康橋,121.4966601 , 24.911437
龜山,121.553549 , 24.902189
安坑,121.5140702 , 24.9614542
雙峰,121.5755222 , 24.951286
新店,121.5402707 , 24.9530234
新和,121.5181553 , 24.9846868
雙城,121.4865797 , 24.9519922
大豐,121.5382153 , 24.9775349
直潭,121.531061 , 24.937692
北新,121.5442651 , 24.9739035
坪林,121.711106 , 24.936316
烏來,121.554276 , 24.863361
福山,121.502362 , 24.777478
頂溪,121.5115823 , 25.0153646
竹林,121.5171886 , 25.0144756
網溪,121.5193839 , 25.0129432
永和,121.5168712 , 25.0035153
育才,121.521842 , 25.0066686
永平,121.5056449 , 25.0078673
秀朗,121.521146 , 24.9996417
及人,121.5119252 , 25.0156492
景新,121.5149903 , 24.9893169
積穗,121.4815431 , 24.9992574
復興,121.5018454 , 24.9895532
光復,121.4824083 , 25.0150293
自強,121.4718173 , 24.9984398
興南,121.5096111 , 24.9869134
錦和,121.489607 , 24.9893961
秀山,121.5208582 , 24.9943157
中和,121.5014899 , 24.9998327
安和,121.4649731 , 24.9889833
頂埔,121.4145039 , 24.9560625
廣福,121.4548549 , 24.9867372
土城,121.4423867 , 24.971251
樂利,121.4476487 , 24.9854931
清水,121.4613672 , 24.9847599
建安,121.446725 , 24.926391
中園,121.3670166 , 24.9278556
民義,121.3753924 , 24.911852
五寮,121.360161 , 24.85861
插角,121.4052103 , 24.8721957
成福,121.4055482 , 24.9331837
安溪,121.3724406 , 24.9311066
三峽,121.3696246 , 24.9345101
有木,121.4371768 , 24.8533806
大成,121.4272436 , 24.9243536
介壽,121.3786359 , 24.9298835
大埔,121.3664013 , 24.9055531
彭福,121.4237786 , 24.9814462
育德,121.3923885 , 24.9708851
大同,121.417824 , 24.981965
育林,121.4157292 , 24.9857903
柑園,121.3894168 , 24.9559459
武林,121.414536 , 25.001966
樹林,121.4178125 , 24.9896791
桃子腳,121.3824892 , 24.9498183
三多,121.406498 , 25.016823
山佳,121.4019205 , 24.9753045
文林,121.4259652 , 24.9975819
建國,121.3466567 , 24.9549183
二橋,121.3375823 , 24.9408835
永吉,121.3329799 , 24.9591803
中湖,121.3479433 , 24.9730001
昌福,121.3394111 , 24.955818
鳳鳴,121.3348707 , 24.9691763
鶯歌,121.3459163 , 24.9509551
光榮,121.5012617 , 25.0709118
五華,121.4932707 , 25.0867045
二重,121.4778456 , 25.0656779
光興,121.4988744 , 25.0590597
厚德,121.4886952 , 25.0718467
三重,121.497846 , 25.070507
集美,121.4879256 , 25.0565701
興穀,121.4755421 , 25.050167
正義,121.4960977 , 25.0646138
碧華,121.4899513 , 25.0849884
永福,121.4804479 , 25.0769981
重陽,121.4839957 , 25.0668021
修德,121.489788 , 25.0657356
三光,121.495867 , 25.055976
裕民,121.418487 , 25.021499
昌隆,121.4560226 , 25.0510524
丹鳳,121.4138083 , 25.0241418
頭前,121.4659738 , 25.0528828
新莊,121.4558945 , 25.0369938
新泰,121.4436689 , 25.0379104
興化,121.4618416 , 25.0659676
光華,121.425414 , 25.017666
國泰,121.4417454 , 25.0340879
中港,121.4471647 , 25.0451464
中信,121.4480904 , 25.0562323
榮富,121.4473723 , 25.0514712
民安,121.427506 , 25.022151
豐年,121.4433796 , 25.030978
思賢,121.4567605 , 25.0457014
昌平,121.4555785 , 25.0558537
同榮,121.4281415 , 25.0545174
義學,121.4309406 , 25.0522704
泰山,121.4317 , 25.061512
明志,121.4273819 , 25.045141
麗林,121.3681912 , 25.0687421
瑞平,121.349481 , 25.128497
林口,121.3897241 , 25.0807109
興福,121.312598 , 25.112383
南勢,121.3584178 , 25.0755524
麗園,121.3762408 , 25.0685149
嘉寶,121.339001 , 25.108385
仁愛,121.4705226 , 25.0913353
蘆洲,121.4700053 , 25.084149
忠義,121.4639592 , 25.0893944
鷺江,121.4759749 , 25.0843261
成功,121.4573875 , 25.0858563
更寮,121.4673659 , 25.0705425
五股,121.4374077 , 25.0828109
德音,121.4345845 , 25.0714756
成州,121.4507729 , 25.0997995
米倉,121.445421 , 25.146374
聖心,121.4503523 , 25.1344601
大崁,121.419518 , 25.1603401
八里,121.4029692 , 25.1492794
長坑,121.390083 , 25.125564
鄧公,121.4486362 , 25.1715744
中泰,121.484312 , 25.224514
興仁,121.450886 , 25.217321
文化,121.4373978 , 25.1740991
新興,121.4401188 , 25.1797593
坪頂,121.4834597 , 25.1578548
忠山,121.4799389 , 25.2003654
天生,121.4245976 , 25.1814403
淡水,121.4410349 , 25.1731052
竹圍,121.4606865 , 25.1476414
屯山,121.4562481 , 25.2373594
水源,121.4765141 , 25.1858594
育英,121.4448817 , 25.1971288
興華,121.50138 , 25.204074
三芝,121.5015019 , 25.2578416
橫山,121.5299788 , 25.2588815
乾華,121.592078 , 25.268834
老梅,121.5449617 , 25.2891126
石門,121.5672752 , 25.2919747
北大,121.3710406 , 24.9391293
新林,121.3568714, 25.0697515
達觀,121.4977917, 24.9536247
龍埔,121.3753016, 24.941159
頭湖,121.3707733, 25.0820978
新市,121.4421897, 25.1864261
東湖,121.3815149, 25.0761807